,"Total energy, Btu","Fossil fuels, Btu","Coal, Btu","Natural gas, Btu","Petroleum, Btu",Water consumption: gallons,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,Biogenic CO2,Primary Unit
hexane,50.842457010177064,50.554942180854674,0.3898402042534128,4.959280539191728,45.20582143740953,0.0010863988775803469,0.00034308287730138267,0.0005645688115689069,0.0008237142870669566,7.994718535915558e-05,6.819445072077614e-05,0.0002911296330382208,7.715015760329578e-06,1.3665770255175345e-05,0.004691447012279458,1.0393195135359033e-05,0.6558918324426186,0,g
fgd lime,4.713895066511232,4.616014756153396,3.8723908230081485,0.49785115624678716,0.24577277689845986,0.001231509532599918,9.933287982358507e-05,0.0004663682928777522,0.00026270665934260057,0.0001384563781637522,0.0001049517245304839,0.00013797051736039856,8.60139822858033e-06,1.6411417919959357e-05,0.0006795391309534676,1.1843239562567246e-06,1.2608466848423983,0,g
co2 requirement (fossil co2),0.06018774855768524,0.03195371177530669,0.012222699669260942,0.019194814730363052,0.0005361973756826927,3.6448896836313495e-06,3.1422558957582567e-07,2.1904461634117157e-06,2.7106100691260283e-06,3.675482676184478e-07,2.545360083981113e-07,1.5319431437517513e-06,1.1637549457983781e-08,1.1304264215647721e-07,5.331610822972697e-06,5.089309008802477e-08,0.004121831797064947,0,g
wwt polymer,19.71853497029684,17.330570910222324,3.344137769875679,13.808648364234854,0.17778477611178914,0.0010197927155796403,0.00017751686943870412,0.0006895675467359204,0.001054895102513368,0.00010277603010773937,7.160128323277515e-05,0.0005048308733924113,7.647593662344578e-06,2.4514307433642393e-05,0.0031431483409378007,3.001407785392317e-05,1.1681442085858305,0,g
resin,117.63583977568672,114.0957322128808,4.947450531749467,73.00103359566765,36.14724808546367,0.0022574700637197666,0.0009876376420076877,0.005476036458424483,0.008122954850231815,0.0008869646832631624,0.0005378746933895184,0.003286830186619342,4.610759644739491e-05,9.556654911750109e-05,0.020200626075326248,0.0008831987951344141,5.6612628450850995,0,g
flocculant,19.71853497029684,17.330570910222324,3.344137769875679,13.808648364234854,0.17778477611178914,0.0010197927155796403,0.00017751686943870412,0.0006895675467359204,0.001054895102513368,0.00010277603010773937,7.160128323277515e-05,0.0005048308733924113,7.647593662344578e-06,2.4514307433642393e-05,0.0031431483409378007,3.001407785392317e-05,1.1681442085858305,0,g
toluene,57.55710576947904,57.408610650956284,0.20120485045038092,33.36866575505831,23.838740045447604,0.0016709665360341464,0.0010562283055804316,0.0009419989211219692,0.0013045281553244192,9.063395581994806e-05,8.103550083417986e-05,0.0004734417981590642,1.0144917841912694e-05,2.5658967452976594e-05,0.006870531045485338,1.67975571052921e-05,0.8921013152644112,0,g
sodium carbonate,5.598297302961602,5.590570844501829,4.672847194994143,0.08565194761828034,0.8320717018894067,3.3896036453742675e-05,8.874949796079544e-05,0.0005481715498193465,0.0003178919930860094,0.0001680063094951145,0.00010669930212728717,0.00018065671918371983,4.750953117905613e-06,8.522170114661765e-06,0.0007662744649283858,1.0897669060495332e-06,0.6810302017536127,0,g
nitrogen,59.91974408970298,58.98360293183894,1.3094902516073141,52.32777968594104,5.346332994290581,0.005097827512649886,0.0062040686567382385,0.007082372512987257,0.006636163910941962,0.001307726776939439,0.0010693295671762044,0.005584329312890403,5.5064408959888964e-05,0.00013718072237800421,0.01050411604590809,0.002006482389241156,3.025827529594965,0,g
p2o5,29.226475858183772,27.68007234257048,2.163786734406076,18.983121758092206,6.533163850072196,0.012931339474403905,0.0015369575444769657,0.0023767403603346744,0.006342079905025718,0.001398563171678643,0.0011023100446641545,0.014622443754029444,6.281629928113825e-05,0.0001384465768977587,0.004479126534530526,4.318287303740355e-05,1.8656888381642496,0,g
k2o,7.715604836055416,6.914439675955644,1.1212680211970887,3.281095551682383,2.512076103076173,0.001045798353560006,9.019797121093046e-05,0.0004537497872503951,0.001114203492350705,9.853676107997453e-05,7.908863559028246e-05,0.0005360065474233204,1.3090289804912959e-05,2.7637253797964307e-05,0.0009905537199195842,9.34889612983154e-06,0.5077349854545986,0,g
herbicide,248.09442784200718,233.29373259112757,20.689770798318644,90.91712244264677,121.68683935016215,0.00889789817382517,0.002107475079545102,0.012045401708405056,0.02165059865044653,0.0026302028840043184,0.0017595189019316265,0.01873001283742069,0.0003014914208839118,0.00035059584361965166,0.030459787787716405,0.0003345433519477202,17.514517307103254,0,g
insecticide,292.9124764630482,274.79849135150715,25.32782585369849,109.56857700428986,139.9020884935188,0.010722374653814669,0.002383690167598001,0.019465528722122403,0.02434751913672372,0.002446174396642959,0.0019623559444648044,0.004678390896992916,0.0005215569053309892,0.000514208850668121,0.03614988759536832,0.0003370909412770064,20.124232896000684,0,g
sorbitol,1158.9968121918412,1109.9154287630106,1019.9545387231723,15.92748782037792,74.0334022194604,227992.390480086,9619.057631913074,42837.19691995188,90295.49140519837,16604.83345482134,7275.970441394232,114435.89587322733,343.86884602802115,599.0024491142236,172783.552703422,2321.3686629565163,108758629.00906189,0,g
sodium sulfate salt,2.5654401878251107,2.413101975989567,0.4999934893100212,1.4572163045814106,0.45589218209813503,0.0005488488013918913,2.3292450626460653e-05,0.0001246639892787809,0.00019248656562815048,1.6888972527141248e-05,1.1980228960286788e-05,0.00010372798467237538,2.3301786963760563e-06,3.468501782787135e-06,0.0003928946257990955,3.456086344786973e-06,0.17255834848172386,0,g
maleic anhydride,53.445759205020934,38.59544375148763,5.658213677409413,14.280830239320787,18.656399834757426,0.0020176338948256563,0.0005942673797598411,0.0003787076546031857,0.004771082449169662,0.00046055994282021495,0.00035050016570764054,0.0029454642539976056,4.268094685316666e-05,0.00010493224453953603,0.0022988972165000426,0.00021843044037248198,5.92991370354582,0,g
adipic acid,99.15771301835683,99.10102802045931,0.0761542759059659,87.62466316513947,11.400210579413892,0.002894857556938991,0.003271076312987044,0.004478845790818061,0.035928608420523145,0.0003284892198127575,0.0003067172810566663,0.0018222658628499725,4.595561954280564e-05,0.00011205234448988939,0.01579320164524466,0.01742743859440626,4.287972545719934,0,g
ethyl acetate ,102.71377752259633,46.560663081095086,8.750063317285024,35.163470904314295,2.647128859495759,0.017965234904311546,0.002539817300673281,0.002498961615227288,0.004875879385670329,0.0008040600505941354,0.000344916566860448,0.0019264148652169074,3.612157306811167e-05,7.401264908951247e-05,0.008225991946641708,0.0015428731719058894,3.458925308595188,0,g
lipase enzyme,50.35253269816289,47.81969505481748,3.5439491768558877,33.24407910646027,11.031666771501328,0.0013951763781904808,0.000564989110477406,0.0012298617553439899,0.002976075642394625,0.00020912675395537553,0.00017322947963307127,0.0009140146500200552,2.376375467908757e-05,6.388780156063875e-05,0.007031062702697447,0.00012629055698852815,2.8443397811506994,0,g
sulfur dioxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
host nutrients,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
boiler chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
cooling tower chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,g
makeup water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,gal
hydrogen,0.0001495847917531415,0.00014917871271645934,5.68528779734971e-07,0.00014805073025178056,5.594536849438127e-07,0.0029593757748213145,0.0011685660571017587,0.0018266875313806413,0.0023890899715242014,0.00032299233394545,0.00030836432916939106,0.001547826792483422,3.810344412384515e-05,8.458614284595386e-05,0.021499226536086227,6.694587980916663e-05,8.90554952814964,0,g
betaketoadipate,99.15771301835683,99.10102802045931,0.0761542759059659,87.62466316513947,11.400210579413892,0.002894857556938991,0.003271076312987044,0.004478845790818061,0.035928608420523145,0.0003284892198127575,0.0003067172810566663,0.0018222658628499725,4.595561954280564e-05,0.00011205234448988939,0.01579320164524466,0.01742743859440626,4.287972545719934,0,g
ethanol,22.768308419908244,14.313720661890066,1.01369654150063,11.762225607448672,1.537798512940765,0.010524015417807536,0.0015332925780409926,0.0010670036531779258,0.0022646336328392878,0.0004171553636873954,0.00015575235226667416,0.0006408914093390578,1.8129502103015302e-05,2.6305516438756624e-05,0.0025803232307925993,0.0010018145421706144,1.1117032316949111,0,g
corn stover_1 leg,362403.00757167325,344979.4265646202,24381.856026689315,254462.2660602296,66135.30447770134,59.889274923371126,24.470884336712146,34.134614130073174,-15.759603589368934,8.685885124906344,6.988316486245122,58.32846229604097,0.4966276120722546,1.1283578872130025,57.12733258503861,-82.71582711453468,22763.019075759898,0,ton
corn stover_2 leg,362403.00757167325,344979.4265646202,24381.856026689315,254462.2660602296,66135.30447770134,59.889274923371126,24.470884336712146,34.134614130073174,-15.759603589368934,8.685885124906344,6.988316486245122,58.32846229604097,0.4966276120722546,1.1283578872130025,57.12733258503861,-82.71582711453468,22763.019075759898,0,ton
adipic acid_sequestration,99.15771301835683,99.10102802045931,0.0761542759059659,87.62466316513947,11.400210579413892,0.002894857556938991,0.003271076312987044,0.004478845790818061,0.035928608420523145,0.0003284892198127575,0.0003067172810566663,0.0018222658628499725,4.595561954280564e-05,0.00011205234448988939,0.01579320164524466,0.01742743859440626,6.096191723802126,0,g
betaketoadipate_sequestration,99.15771301835683,99.10102802045931,0.0761542759059659,87.62466316513947,11.400210579413892,0.002894857556938991,0.003271076312987044,0.004478845790818061,0.035928608420523145,0.0003284892198127575,0.0003067172810566663,0.0018222658628499725,4.595561954280564e-05,0.00011205234448988939,0.01579320164524466,0.01742743859440626,5.937972545719934,0,g
diesel_industrial boiler,182676.7825370137,176795.22293214005,7940.273987246283,122277.32447494021,46577.624469953575,22.784345691485484,8.54024542425148,28.437092196165917,100.0843912003071,7.721491032996237,6.135258563139087,5.295719344031996,0.6734666441379625,1.5572836435611495,109.67990636348598,0.6120304449998932,91113.01336114878,0,mmBtu
diesel_commercial boiler,182676.7825370137,176795.22293214005,7940.273987246283,122277.32447494021,46577.624469953575,22.784345691485484,8.56824544618599,36.866091372191306,84.40239272618601,9.708491032996237,8.627258563139087,5.295719344031996,0.9226666441379625,2.1802836435611495,110.26290635633343,1.1400304593050081,91098.07727429968,0,mmBtu
diesel_stationary reciprocating engine,182676.7825370137,176795.22293214005,7940.273987246283,122277.32447494021,46577.624469953575,22.784345691485484,9.394245446185991,537.9430913721914,285.749392726186,23.84349103299624,23.405258563139085,5.295719344031996,18.300366644137963,4.33608364356115,113.72090635633343,0.8220304593050081,90298.5866933473,0,mmBtu
diesel_turbine,182676.7825370137,176795.22293214005,7940.273987246283,122277.32447494021,46577.624469953575,22.784345691485484,7.625245446185991,13.311091372191308,274.271392726186,27.248491032996238,7.679258563139086,5.295719344031996,0.8278666441379625,1.9432836435611494,112.52390635633343,0.825030459305008,91131.81354096634,0,mmBtu
diesel_farming tractor,182676.7825370137,176795.22293214005,7940.273987246283,122277.32447494021,46577.624469953575,22.784345691485484,48.86724544618599,211.8610913721913,452.169392726186,31.134491032996237,30.040358563139083,5.295719344031996,16.46092794413796,10.398133543561148,110.12990635156505,1.1420304759943085,90697.85233145565,0,mmBtu
natural gas_utility/ industrial boiler (>100 mmbtu/hr input),104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,12.827405417696784,53.47772994989345,72.69130123735022,3.9285362566030324,3.8859405218000704,11.388943664289767,0.6778470425394165,1.644247678393447,217.4181589274852,2.169665857896294,65502.86041904201,0,mmBtu
natural gas_small industrial boiler (10-100 mmbtu/hr input),104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,12.827405417696784,56.23772994989345,77.34130123735022,3.9285362566030324,3.8859405218000704,11.388943664289767,0.6778470425394165,1.644247678393447,217.4181589274852,1.7696658578962943,65498.523276184875,0,mmBtu
natural gas_large gas turbine,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,11.343405417696786,72.55372994989345,68.26030123735023,3.9965362566030325,3.9539405218000705,11.388943664289767,0.20286704253941645,2.5742516783934475,217.4141589274852,1.5216658578962943,65477.51998094678,0,mmBtu
natural gas_cc gas turbine,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,10.554405417696785,45.80072994989345,53.71630123735022,0.5545362566030323,0.5119405218000702,11.388943664289767,0.10304904253941645,0.23369167839344723,217.5001589274852,1.5386658578962942,65521.782959518205,0,mmBtu
natural gas_small turbine,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,11.343405417696786,72.55372994989345,68.26030123735023,3.9965362566030325,3.9539405218000705,11.388943664289767,0.20286704253941645,2.5742516783934475,217.4141589274852,1.5216658578962943,65477.51998094678,0,mmBtu
natural gas_stationary reciprocating engine,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,140.34540541769678,692.1787299498934,789.1073012373503,7.618536256603033,7.57594052180007,11.388943664289767,1.5385920425394164,3.2235676783934473,608.7121589274852,1.5306658578962942,63025.69781904201,0,mmBtu
natural gas_ng flaring in oil field,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,12.787405417696785,57.26772994989345,85.19130276322912,4.121536304286748,4.078940569483786,11.388943664289767,3.614192087838946,0.328251680777633,265.3581589274852,2.519665881738152,65365.19437142297,0,mmBtu
natural gas_ng kiln,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,110.28740541769679,81.26772994989345,136.29130123735024,90.42153625660303,90.37894052180008,41.1203780488269,14.949192042539416,38.66325167839344,219.2081589274852,1.4196658578962942,65150.51758570868,0,mmBtu
natural gas_steam cracker furnace,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,12.827405417696784,53.47772994989345,49.58813323735023,3.6366022566030325,3.5940065218000705,11.441871048826899,0.6296779325394165,1.519299926393447,217.4181589274852,1.8208978578962942,65502.86041904201,0,mmBtu
sodium carbonate_use,5.598297302961602,5.590570844501829,4.672847194994143,0.08565194761828034,0.8320717018894067,3.3896036453742675e-05,8.874949796079544e-05,0.0005481715498193465,0.0003178919930860094,0.0001680063094951145,0.00010669930212728717,0.00018065671918371983,4.750953117905613e-06,8.522170114661765e-06,0.0007662744649283858,1.0897669060495332e-06,1.0961245413762541,0,g
toluene_combustion,57.55710576947904,57.408610650956284,0.20120485045038092,33.36866575505831,23.838740045447604,0.0016709665360341464,0.0010562283055804316,0.0009419989211219692,0.0013045281553244192,9.063395581994806e-05,8.103550083417986e-05,0.0004734417981590642,1.0144917841912694e-05,2.5658967452976594e-05,0.006870531045485338,1.67975571052921e-05,4.239927402220933,0,g
diesel_loaded,1182676.7825370138,1176795.22293214,7940.273987246283,122277.32447494021,1046577.6244699536,22.784345691485484,13.179598913083119,173.52748633785436,119.39457610350618,6.745489725672309,2.0335072602195168,5.297997932357206,0.20204745660816767,0.3584648116564543,110.29678587684256,0.32898699306464485,90868.85843331943,0.0,mmBtu
diesel_empty,1182676.7825370138,1176795.22293214,7940.273987246283,122277.32447494021,1046577.6244699536,22.784345691485484,14.690810814476372,215.58934902892676,145.79372378160943,8.160149385768086,2.274851921460429,5.297997932357206,0.210258467850421,0.37372191536123356,110.50397455217494,0.35679569184215043,90797.48150790269,0.0,mmBtu
